#Solar model
#
#Data taken from the following work:
#	Saclay Solar Seismic model. For further information:
#	"Solar Neutrino Emission Deduced from a Seismic Model", Turck-Chieze et al., 
#	ApJ, 555:L69-L73, 2001 July 1
#Gravitational potential calculted from Poisson law
# Phi = -GM/R PhiBar with PhiBar the normalized potential shown here
#
#Radius [in solar radius]	Temperature [keV]	Normalized gravitational potential [no unit]
0.212259	0.778303	3.62426
0.212656	0.777262	3.62098
0.213054	0.776223	3.6177
0.213452	0.775185	3.61442
0.21385	0.774147	3.61113
0.214249	0.77311	3.60785
0.214647	0.772074	3.60457
0.215047	0.771039	3.60128
0.215446	0.770005	3.598
0.215846	0.768972	3.59471
0.216247	0.767939	3.59142
0.216647	0.766908	3.58813
0.217049	0.765877	3.58484
0.21745	0.764847	3.58155
0.217852	0.763818	3.57826
0.218254	0.762789	3.57497
0.218657	0.761762	3.57167
0.219059	0.760735	3.56838
0.219463	0.75971	3.56509
0.219866	0.758685	3.56179
0.220271	0.757661	3.55849
0.220675	0.756637	3.55519
0.22108	0.755615	3.5519
0.221485	0.754593	3.5486
0.221891	0.753572	3.54529
0.222297	0.752552	3.54199
0.222703	0.751533	3.53869
0.22311	0.750515	3.53539
0.223517	0.749497	3.53208
0.223925	0.74848	3.52878
0.224333	0.747464	3.52547
0.224741	0.746449	3.52216
0.22515	0.745434	3.51885
0.22556	0.744421	3.51554
0.225969	0.743408	3.51223
0.226379	0.742396	3.50892
0.22679	0.741384	3.50561
0.227201	0.740374	3.50229
0.227612	0.739364	3.49898
0.228024	0.738355	3.49566
0.228437	0.737347	3.49235
0.228849	0.73634	3.48903
0.229263	0.735333	3.48571
0.229676	0.734327	3.48239
0.23009	0.733322	3.47907
0.230505	0.732317	3.47574
0.23092	0.731314	3.47242
0.231335	0.730311	3.4691
0.231751	0.729309	3.46577
0.232167	0.728307	3.46245
0.232584	0.727307	3.45912
0.233002	0.726307	3.45579
0.233419	0.725307	3.45246
0.233838	0.724309	3.44913
0.234256	0.723311	3.4458
0.234676	0.722314	3.44246
0.235095	0.721318	3.43913
0.235515	0.720322	3.4358
0.235936	0.719327	3.43246
0.236357	0.718333	3.42912
0.236779	0.71734	3.42578
0.237201	0.716347	3.42244
0.237623	0.715355	3.4191
0.238047	0.714364	3.41576
0.23847	0.713373	3.41242
0.238894	0.712383	3.40908
0.239319	0.711394	3.40573
0.239744	0.710405	3.40238
0.24017	0.709418	3.39904
0.240596	0.70843	3.39569
0.241023	0.707444	3.39234
0.24145	0.706458	3.38899
0.241878	0.705473	3.38564
0.242306	0.704489	3.38228
0.242735	0.703505	3.37893
0.243164	0.702522	3.37557
0.243594	0.701539	3.37222
0.244025	0.700557	3.36886
0.244456	0.699576	3.3655
0.244887	0.698596	3.36214
0.245319	0.697616	3.35878
0.245752	0.696637	3.35541
0.246185	0.695658	3.35205
0.246619	0.69468	3.34869
0.247053	0.693703	3.34532
0.247488	0.692726	3.34195
0.247924	0.69175	3.33858
0.24836	0.690775	3.33521
0.248797	0.6898	3.33184
0.249234	0.688826	3.32847
0.249671	0.687852	3.3251
0.25011	0.68688	3.32172
0.250549	0.685907	3.31834
0.250989	0.684936	3.31497
0.251429	0.683965	3.31159
0.251869	0.682994	3.30821
0.252311	0.682024	3.30483
0.252753	0.681055	3.30145
0.253195	0.680086	3.29806
0.253639	0.679118	3.29468
0.254082	0.678151	3.29129
0.254527	0.677184	3.2879
0.254972	0.676217	3.28452
0.255418	0.675251	3.28113
0.255864	0.674286	3.27773
0.256311	0.673322	3.27434
0.256759	0.672358	3.27095
0.257207	0.671394	3.26755
0.257656	0.670431	3.26416
0.258105	0.669469	3.26076
0.258556	0.668507	3.25736
0.259006	0.667545	3.25396
0.259458	0.666585	3.25056
0.25991	0.665624	3.24715
0.260363	0.664665	3.24375
0.260817	0.663706	3.24034
0.261271	0.662747	3.23694
0.261725	0.661789	3.23353
0.262181	0.660831	3.23012
0.262637	0.659874	3.22671
0.263094	0.658918	3.22329
0.263552	0.657962	3.21988
0.26401	0.657006	3.21647
0.264469	0.656051	3.21305
0.264929	0.655097	3.20963
0.265389	0.654143	3.20621
0.26585	0.65319	3.20279
0.266312	0.652237	3.19937
0.266775	0.651284	3.19595
0.267238	0.650332	3.19252
0.267702	0.649381	3.1891
0.268167	0.64843	3.18567
0.268632	0.647479	3.18224
0.269098	0.646529	3.17881
0.269565	0.64558	3.17538
0.270033	0.644631	3.17194
0.270501	0.643682	3.16851
0.270971	0.642734	3.16507
0.27144	0.641787	3.16164
0.271911	0.64084	3.1582
0.272383	0.639893	3.15476
0.272855	0.638947	3.15131
0.273328	0.638001	3.14787
0.273802	0.637056	3.14443
0.274276	0.636111	3.14098
0.274752	0.635166	3.13753
0.275228	0.634223	3.13408
0.275705	0.633279	3.13063
0.276182	0.632336	3.12718
0.276661	0.631393	3.12373
0.27714	0.630451	3.12027
0.27762	0.62951	3.11682
0.278101	0.628568	3.11336
0.278583	0.627627	3.1099
0.279066	0.626687	3.10644
0.279549	0.625747	3.10298
0.280033	0.624808	3.09951
0.280519	0.623868	3.09605
0.281004	0.62293	3.09258
0.281491	0.621991	3.08911
0.281979	0.621053	3.08564
0.282467	0.620116	3.08217
0.282957	0.619179	3.0787
0.283447	0.618242	3.07522
0.283938	0.617306	3.07175
0.28443	0.61637	3.06827
0.284923	0.615435	3.06479
0.285416	0.6145	3.06131
0.285911	0.613565	3.05783
